node,in_degree,out_degree,betweenness,closeness,pagerank,eigenvector,hub_score,authority_score,in_degree_raw,out_degree_raw,comment_count,community
UC--Xt62_To0n0dJKhzsaUTg,0.45454545454545453,0.0,0.0,0.0006182804932504379,0.00036238562075944635,0.0,0.0,7.323089392368768e-19,5,0,1,21
UCmUcQK1yLBptjFn7KQjwu3Q,0.09090909090909091,0.0,0.0,0.0002885308968502044,0.00010741189562569042,0.0,0.0,7.683892612263794e-20,1,0,1,21
UCLxXvz6UrEa_D7ZobwP3_Zw,0.0,0.0033783783783783786,0.0,0.0003606636210627555,7.554017998397095e-05,0.0,4.6267307770841425e-19,-4.1518461190748936e-21,0,1,1,21
UC9g0JBKJ6dWf2O7lio1jgbw,0.0,0.006756756756756757,0.0,0.00043279634527530655,7.554017998397095e-05,0.0,5.112199416508613e-19,-5.1167668367402675e-20,0,2,2,21
UCMrgSiWX0PrfLc-OpliS_Kg,0.0,0.0033783783783783786,0.0,0.0003606636210627555,7.554017998397095e-05,0.0,4.6267307770841425e-19,1.1621982590494925e-20,0,1,1,21
UC7I5sjQFg0k23iZlnLB6gVw,0.45454545454545453,0.0,0.0,0.03506023675801136,0.00036238562075944635,0.0,0.0,3.5681382242219655e-14,5,0,1,22
UCWCf8akYg-6n_6Wc2dSSsbw,0.45454545454545453,0.0,0.0,0.034266441523860526,0.0003396201095867895,0.0,0.0,1.8343190812063132e-14,5,0,1,22
UCBu76htn4onot1bTi4NMTbw,0.45454545454545453,0.0,0.0,0.039957962801940985,0.0003375965085936645,0.0,0.0,5.57350250908557e-12,5,0,1,22
UCJnGcVEtkZRvzFYxuymCoPw,0.45454545454545453,0.0,0.0,0.039957962801940985,0.0003375965085936645,0.0,0.0,5.573502317182728e-12,5,0,1,22
UCr8dAhIXHocIhacHylPaUYA,0.45454545454545453,0.0,0.0,0.0399831564482296,0.00030572479295194505,0.0,0.0,5.5735616953565305e-12,5,0,1,22
UCvk_OOSs7f8YZmjl7-N6soQ,0.36363636363636365,0.0,0.0,0.00048088482808367395,0.0003305139051177268,0.0,0.0,1.0094537110991263e-19,4,0,2,23
UCFOdvWO2g7ThRa7hIFz9BfA,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,6.377732542840632e-20,1.528344870958518e-20,0,1,1,23
UCQz7agcyTXM1iN_BASwtSZg,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,6.377732542840632e-20,1.0414848728091906e-20,0,1,1,23
UCdR7fInWMQGUbjjxakUoZbQ,0.0,0.0033783783783783786,0.0,0.000274791330333528,7.554017998397095e-05,0.0,6.377732542840632e-20,1.3015367495627741e-21,0,1,1,23
